username,username_color,user_badge,country_name,rank,score,data_region,finish_time
uwi,,,Japan,1,19,US,2022-02-19T20:06:24
numb3r5,,,Australia,2,19,US,2022-02-19T20:06:52
Heltion,,,中国,3,19,CN,2022-02-19T20:07:57
arignote,,,,4,19,CN,2022-02-19T20:08:07
skywalkert,,"{'icon': '/static/images/badges/dcc-2022-1.png', 'display_name': 'Jan LeetCoding Challenge'}",China,5,19,US,2022-02-19T20:08:44
shengtongtong,,,,6,19,CN,2022-02-19T20:09:02
ASAPIN,,,中国,7,19,CN,2022-02-19T20:09:46
wasa855,,,中国,8,19,CN,2022-02-19T20:09:49
emthrm,,,Japan,9,19,US,2022-02-19T20:10:14
natsugiri,,,Japan,10,19,US,2022-02-19T20:11:09
wjli,,,United States,11,19,US,2022-02-19T20:11:32
Xuderian,,,China,12,19,US,2022-02-19T20:11:36
qwnjc,,,,13,19,US,2022-02-19T20:11:42
tabr,,,Japan,14,19,US,2022-02-19T20:12:28
kmjp,,,,15,19,US,2022-02-19T20:12:33
Felerius,,,Germany,16,19,US,2022-02-19T20:12:46
oldyan,,,中国,17,19,CN,2022-02-19T20:13:02
lin-yi-zw,,,,18,19,CN,2022-02-19T20:13:06
pornjoke,,,朝鲜,19,19,CN,2022-02-19T20:13:12
hank55663,,,Taiwan,20,19,US,2022-02-19T20:13:13
jyq_,,,,21,19,CN,2022-02-19T20:13:15
superj,,,中国,22,19,CN,2022-02-19T20:13:20
noxe,,,,23,19,CN,2022-02-19T20:13:30
moransky,,,中国,24,19,CN,2022-02-19T20:13:52
